coding,jobid
0,18554388
256:0:0:0:0:0:0:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18035492
38,18685147
135:129,18114586
0:0:0:0:0:0:4:0:0:0:0:0:0:0:0:0:0,18501536
160,18588952
0,18243250
0:0,18087457
135:129,18345125
0,18109464
24,18593623
30,18760933
0,18344265
0:4:0:0,18375891
0:39:1:1,17961878
0:0:0:0:0:0,18794946
166:0,18845677
0:0:14:0,18785993
0,17915053
400:414:0:0,17876750
0,18823223
304:304:304:304:304:496:310:304:304:304:304:304:304:304:304:304:304:304:304:304:304:304:304:304:304:304:304:304:304,18391809
128:128:128:128:388:7:384,17877338
0,18218068
0:0:0,18421811
32,17853500
129:15:39:135:236:288:358:384:256:256:256,18807199
8:0:59,18496293
40:8:0:24:0:32:127:31:95:95:31:95:95:31:31:95:31:95:95:31:31:95:95:95:95:95:31:95:95:31:95:95:95:95:31,18493501
0,18678587
0,18377617
4:6:1:1,17847618
0,18481914
4:1,18153250
0:32,18267052
0,18534338
135:129,18109177
0,18627034
0:0:16:6:0,17902420
0,18127738
0,18369573
0:0,18091721
384:384:14:32:34,18521471
166:262:407:471:471:407:401,18140742
511:503,18444925
0,18736376
272:272:286:272:272:286:272:272:286:272:272:272:406:400,18181946
0,17943826
0,17928818
273:273,17808515
0,18139949
0:46:6:8:32:31:96:432:400:401:272,18764296
162,18312051
0,18299525
509:502:446:432:432:432:433:447:511:511:511,17832097
0,17918090
0:0,18849852
120,18282872
0,18172112
13:1:1:7,17940557
400:400:400:384:422:400:400:400,17932574
510:438:446:446:438:510:510:446:438:446:447:438:6:0:0:0:160:160:0:0:0:128:160:0:0:0:0:160:0:0:0:0:0:0:0,18219626
0,18487831
0:0,18006295
0:0,18069700
0:0:0:0:0:0:0:0:0:0,17936517
0,18503478
0:0,18278749
0,18714830
0,18667078
0,18195129
0,18226595
25:383:379:379:379:379:379:379:379,18163477
0,18294039
471:503:470:464,18421503
0,18229670
129:129,17963920
96:102:96:96,18649930
0,18202854
272:272:272:279:0:0:0:0:0:0:0:0:0:0:0:0:0,18483616
260:0:0,18578840
6:0:0:0:0:0,18653108
256,18558108
0,18094197
511:439,17839069
0,18047446
0,18843604
0,18174166
0:0:0,18623975
238:494:6:286,18741130
105,17606103
97,18024489
0:0:0:0,18383772
0,18238926
0:0:0:260:128:496:502:0:0:0:0:0:0:0:0:130:0:0:0:0:0:0:0:0:2:128:0:0:0:0:0:0,18335805
0:0:0,18400598
6:6:4,18230148
0:0:0:0:0:0:278:400:400:400:400:400:400:400:400:400:400:400:400:400:400:400:400:400:400:400:400:400:272,18312391
